sector,okved2,year,researchorg_s
"Производство несамоходных железнодорожных, трамвайных и прочих вагонов для перевозки грузов",30.20.33,2024,3
"Производство частей железнодорожных локомотивов, трамвайных и прочих моторных вагонов и подвижного состава; производство путевого оборудования и устройств для железнодорожных, трамвайных и прочих путей, механического и электромеханического оборудования для управления движением",30.20.4,2024,2
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2018,21
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2019,24
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2020,28
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2021,31
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2022,39
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.3,2023,40
"Производство летательных аппаратов, включая космические, и соответствующего оборудования",30.30,2024,41
"Производство силовых установок и двигателей для летательных аппаратов, включая космические; наземных тренажеров для летного состава; их частей",30.30.1,2024,18
Производство двигателей летательных аппаратов с искровым зажиганием и их частей,30.30.11,2024,4
Производство турбореактивных и турбовинтовых двигателей и их частей,30.30.12,2024,11
Производство реактивных двигателей и их частей,30.30.13,2024,1
Производство наземных тренажеров для летного состава и их частей,30.30.14,2024,2
"Производство вертолетов, самолетов и прочих летательных аппаратов",30.30.3,2024,6
Производство вертолетов,30.30.31,2024,1
Производство самолетов,30.30.32,2024,3
Производство прочих летательных аппаратов,30.30.39,2024,1
"Производство космических аппаратов (в том числе спутников), ракет-носителей",30.30.4,2024,2
Производство частей и принадлежностей летательных и космических аппаратов,30.30.5,2024,14
Производство мебели,31,2019,1
Производство мебели,31.0,2024,1
Производство мебели для офисов и предприятий торговли,31.01,2024,1
Производство прочих готовых изделий,32,2018,5
Производство прочих готовых изделий,32,2019,7
Производство прочих готовых изделий,32,2020,12
Производство прочих готовых изделий,32,2021,11
Производство прочих готовых изделий,32,2022,10
Производство прочих готовых изделий,32,2023,11
Производство прочих готовых изделий,32,2024,11
"Производство ювелирных изделий, бижутерии и подобных товаров",32.1,2024,1
Производство ювелирных изделий и аналогичных изделий,32.12,2024,1
Производство медицинских инструментов и оборудования,32.5,2018,4
Производство медицинских инструментов и оборудования,32.5,2019,3
Производство медицинских инструментов и оборудования,32.5,2020,7
Производство медицинских инструментов и оборудования,32.5,2021,5
Производство медицинских инструментов и оборудования,32.5,2022,5
Производство медицинских инструментов и оборудования,32.5,2023,6
Производство медицинских инструментов и оборудования,32.50,2024,7
"Производство изделий, не включенных в другие группировки",32.9,2024,3
"Производство прочих готовых изделий, не включенных в другие группировки",32.99,2024,3
Производство головных защитных уборов и прочих средств защиты,32.99.1,2024,3
Ремонт и монтаж машин и оборудования,33,2018,5
Ремонт и монтаж машин и оборудования,33,2019,5
Ремонт и монтаж машин и оборудования,33,2020,4
Ремонт и монтаж машин и оборудования,33,2021,4
Ремонт и монтаж машин и оборудования,33,2022,7
Ремонт и монтаж машин и оборудования,33,2023,10
Ремонт и монтаж машин и оборудования,33,2024,6
"Ремонт и монтаж металлических изделий, машин и оборудования",33.1,2024,5
Ремонт машин и оборудования,33.12,2024,1
Ремонт электронного и оптического оборудования,33.13,2024,1
Ремонт электрического оборудования,33.14,2024,2
"Ремонт и техническое обслуживание летательных аппаратов, включая космические",33.16,2024,1
Монтаж промышленных машин и оборудования,33.20,2024,1
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха",35,2024,3
"Производство, передача и распределение электроэнергии",35.1,2018,9
"Производство, передача и распределение электроэнергии",35.1,2019,4
"Производство, передача и распределение электроэнергии",35.1,2020,1
"Производство, передача и распределение электроэнергии",35.1,2021,1
"Производство, передача и распределение электроэнергии",35.1,2022,1
"Производство, передача и распределение электроэнергии",35.1,2023,1
"Производство, передача и распределение электроэнергии",35.1,2024,2
Производство электроэнергии,35.11,2024,2
"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",35.11.1,2024,2
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2020,1
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2021,1
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.3,2022,1
"Производство, передача и распределение пара и горячей воды; кондиционирование воздуха",35.30,2024,1
Производство пара и горячей воды (тепловой энергии),35.30.1,2024,1
Производство пара и горячей воды (тепловой энергии) котельными,35.30.14,2024,1
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2018,4
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2019,4
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2020,1
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2021,1
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2022,1
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2023,1
"Сбор, обработка и утилизация отходов; обработка вторичного сырья",38,2024,2
Сбор отходов,38.1,2024,1
Сбор опасных отходов,38.12,2024,1
Обработка и утилизация отходов,38.2,2024,1
Обработка и утилизация опасных отходов,38.22,2024,1
Обработка и утилизация радиоактивных отходов,38.22.1,2024,1
Деятельность по обращению с отработавшим ядерным топливом,38.22.11,2024,1
"Предоставление услуг в области ликвидации последствий загрязнений и прочих услуг, связанных с удалением отходов",39.00,2024,1
Строительство зданий,41,2018,1
Строительство зданий,41,2022,1
Строительство инженерных сооружений,42,2019,2
Строительство инженерных сооружений,42,2022,1
Строительство инженерных сооружений,42,2023,1
Работы строительные специализированные,43,2018,1
Работы строительные специализированные,43,2020,1
Работы строительные специализированные,43,2021,1
Работы строительные специализированные,43,2022,1
Работы строительные специализированные,43,2024,1
"Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ",43.2,2024,1
Производство прочих строительно-монтажных работ,43.29,2024,1
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2020,1
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2021,1
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2022,2
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2023,2
Торговля оптовая и розничная автотранспортными средствами и мотоциклами и их ремонт,45,2024,1
Техническое обслуживание и ремонт автотранспортных средств,45.20,2024,1
Техническое обслуживание и ремонт прочих автотранспортных средств,45.20.2,2024,1
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2018,12
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2019,15
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2020,14
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2021,15
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2022,19
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2023,13
"Торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами",46,2024,15
Торговля оптовая непродовольственными потребительскими товарами,46.4,2024,1
Торговля оптовая фармацевтической продукцией,46.46,2024,1
Торговля оптовая информационным и коммуникационным оборудованием,46.5,2024,4
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2020,1
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2021,1
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2023,1
"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.51,2024,3
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2019,1
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2021,1
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2023,1
Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.52,2024,1
Торговля оптовая электронным оборудованием и его запасными частями,46.52.2,2024,1
"Торговля оптовая прочими машинами, оборудованием и принадлежностями",46.6,2024,4
Торговля оптовая прочими машинами и оборудованием,46.69,2024,4
"Торговля оптовая производственным электротехническим оборудованием, машинами, аппаратурой и материалами",46.69.5,2024,1
"Торговля оптовая прочими машинами, приборами, аппаратурой и оборудованием общепромышленного и специального назначения",46.69.9,2024,3
Торговля оптовая специализированная прочая,46.7,2024,2
"Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием",46.73,2024,1
Торговля оптовая прочими строительными материалами и изделиями,46.73.6,2024,1
Торговля оптовая химическими продуктами,46.75,2024,1
Торговля оптовая удобрениями и агрохимическими продуктами,46.75.1,2024,1
Торговля оптовая неспециализированная,46.90,2024,4
Деятельность сухопутного и трубопроводного транспорта,49,2018,3
Деятельность сухопутного и трубопроводного транспорта,49,2019,3
Деятельность сухопутного и трубопроводного транспорта,49,2021,1
Деятельность сухопутного и трубопроводного транспорта,49,2022,1
Деятельность водного транспорта,50,2020,1
Деятельность воздушного и космического транспорта,51,2019,1
Деятельность воздушного и космического транспорта,51,2021,1
Складское хозяйство и вспомогательная транспортная деятельность,52,2019,1
Складское хозяйство и вспомогательная транспортная деятельность,52,2020,1
Складское хозяйство и вспомогательная транспортная деятельность,52,2021,2
Складское хозяйство и вспомогательная транспортная деятельность,52,2022,1
Складское хозяйство и вспомогательная транспортная деятельность,52,2023,1
Складское хозяйство и вспомогательная транспортная деятельность,52,2024,1
Деятельность по складированию и хранению,52.10,2024,1
Хранение и складирование прочих грузов,52.10.9,2024,1
Деятельность почтовой связи и курьерская деятельность,53,2018,1
Деятельность почтовой связи и курьерская деятельность,53,2019,1
Деятельность почтовой связи прочая и курьерская деятельность,53.2,2018,1
Деятельность почтовой связи прочая и курьерская деятельность,53.2,2019,1
Деятельность по предоставлению мест для временного проживания,55,2018,1
Деятельность по предоставлению мест для временного проживания,55,2019,1
Деятельность по предоставлению мест для временного проживания,55,2022,1
Деятельность по предоставлению мест для временного проживания,55,2024,1
Деятельность по предоставлению прочих мест для временного проживания,55.90,2024,1
Деятельность по предоставлению продуктов питания и напитков,56,2019,1
Деятельность по предоставлению продуктов питания и напитков,56,2021,1
Деятельность по предоставлению продуктов питания и напитков,56,2022,1
Деятельность по предоставлению продуктов питания и напитков,56,2024,1
Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий и прочим видам организации питания,56.2,2024,1
Деятельность предприятий общественного питания по прочим видам организации питания,56.29,2024,1
Деятельность столовых и буфетов при предприятиях и учреждениях,56.29.2,2024,1
Деятельность издательская,58,2018,1
Деятельность издательская,58,2020,1
Деятельность издательская,58,2021,3
Деятельность издательская,58,2022,3
Деятельность издательская,58,2023,1
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2018,1
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2020,1
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2021,3
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2022,2
"Издание книг, периодических публикаций и другие виды издательской деятельности",58.1,2023,1
Издание программного обеспечения,58.2,2022,1
Деятельность в сфере телекоммуникаций,61,2018,3
Деятельность в сфере телекоммуникаций,61,2019,2
Деятельность в сфере телекоммуникаций,61,2020,2
Деятельность в сфере телекоммуникаций,61,2021,2
Деятельность в сфере телекоммуникаций,61,2022,3
Деятельность в сфере телекоммуникаций,61,2023,2
Деятельность в сфере телекоммуникаций,61,2024,2
Деятельность в области связи на базе проводных технологий,61.1,2018,3
Деятельность в области связи на базе проводных технологий,61.10,2019,2
Деятельность в области связи на базе проводных технологий,61.10,2020,1
Деятельность в области связи на базе проводных технологий,61.10,2021,1
Деятельность в области связи на базе проводных технологий,61.10,2022,2
Деятельность в области связи на базе проводных технологий,61.10,2023,1
Деятельность в области связи на базе проводных технологий,61.10,2024,1
Деятельность в области связи на базе проводных технологий прочая,61.10.9,2024,1
Деятельность в области связи на базе беспроводных технологий,61.20,2020,1
Деятельность в области связи на базе беспроводных технологий,61.20,2021,1
Деятельность в области связи на базе беспроводных технологий,61.20,2022,1
Деятельность в области связи на базе беспроводных технологий,61.20,2023,1
Деятельность в области связи на базе беспроводных технологий,61.20,2024,1
Деятельность по предоставлению услуг подвижной связи для целей передачи данных,61.20.2,2024,1
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2018,30
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2019,36
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2020,55
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2021,44
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2022,37
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62,2023,38
"Разработка компьютерного программного обеспечения, консультационные услуги в данной области и другие сопутствующие услуги",62.0,2024,49
Разработка компьютерного программного обеспечения,62.01,2018,23
Разработка компьютерного программного обеспечения,62.01,2019,27
Разработка компьютерного программного обеспечения,62.01,2020,43
Разработка компьютерного программного обеспечения,62.01,2021,35
Разработка компьютерного программного обеспечения,62.01,2022,27
Разработка компьютерного программного обеспечения,62.01,2023,27
Разработка компьютерного программного обеспечения,62.01,2024,35
Деятельность консультативная и работы в области компьютерных технологий,62.02,2018,4
Деятельность консультативная и работы в области компьютерных технологий,62.02,2019,3
Деятельность консультативная и работы в области компьютерных технологий,62.02,2020,4
Деятельность консультативная и работы в области компьютерных технологий,62.02,2021,3
Деятельность консультативная и работы в области компьютерных технологий,62.02,2022,3
Деятельность консультативная и работы в области компьютерных технологий,62.02,2023,3
Деятельность консультативная и работы в области компьютерных технологий,62.02,2024,8
"Деятельность по планированию, проектированию компьютерных систем",62.02.1,2024,2
Деятельность по подготовке компьютерных систем к эксплуатации,62.02.4,2024,1
Деятельность консультативная в области компьютерных технологий прочая,62.02.9,2024,2
Деятельность по управлению компьютерным оборудованием,62.03,2024,1
Деятельность по управлению компьютерными системами,62.03.1,2024,1
Деятельность по сопровождению компьютерных систем,62.03.13,2024,1
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2018,3
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2019,6
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2020,8
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2021,6
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2022,7
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2023,8
"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",62.09,2024,5
Деятельность в области информационных технологий,63,2018,9
Деятельность в области информационных технологий,63,2019,11
Деятельность в области информационных технологий,63,2020,5
Деятельность в области информационных технологий,63,2021,6
Деятельность в области информационных технологий,63,2022,11
Деятельность в области информационных технологий,63,2023,12
Деятельность в области информационных технологий,63,2024,9
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно",63.1,2018,8
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2019,10
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2020,4
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2021,5
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2022,10
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2023,10
"Деятельность по обработке данных, предоставление услуг по размещению информации, деятельность порталов в информационно-коммуникационной сети Интернет",63.1,2024,7
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2019,10
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2020,4
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2021,5
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2022,10
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2023,10
"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",63.11,2024,7
Деятельность по созданию и использованию баз данных и информационных ресурсов,63.11.1,2024,5
Деятельность в области информационных услуг прочая,63.9,2018,1
Деятельность в области информационных услуг прочая,63.9,2019,1
Деятельность в области информационных услуг прочая,63.9,2020,1
Деятельность в области информационных услуг прочая,63.9,2021,1
Деятельность в области информационных услуг прочая,63.9,2022,1
Деятельность в области информационных услуг прочая,63.9,2023,2
Деятельность в области информационных услуг прочая,63.9,2024,2
Деятельность информационных агентств,63.91,2019,1
Деятельность информационных агентств,63.91,2020,1
Деятельность информационных агентств,63.91,2021,1
Деятельность информационных агентств,63.91,2022,1
Деятельность информационных агентств,63.91,2023,1
Деятельность информационных агентств,63.91,2024,2
"Деятельность информационных служб прочая, не включенная в другие группировки",63.99,2023,1
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2019,1
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2020,1
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2021,2
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2022,2
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2023,3
"Деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64,2024,4
Денежное посредничество,64.1,2024,1
Денежное посредничество прочее,64.19,2024,1
"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",64.9,2024,3
"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",64.99,2024,3
Операции с недвижимым имуществом,68,2024,5
Аренда и управление собственным или арендованным недвижимым имуществом,68.20,2024,4
Аренда и управление собственным или арендованным нежилым недвижимым имуществом,68.20.2,2024,4
Аренда и управление собственным или арендованным прочим нежилым недвижимым имуществом,68.20.29,2024,4
Операции с недвижимым имуществом за вознаграждение или на договорной основе,68.3,2024,1
Управление недвижимым имуществом за вознаграждение или на договорной основе,68.32,2024,1
Управление эксплуатацией нежилого фонда за вознаграждение или на договорной основе,68.32.2,2024,1
Деятельность в области права и бухгалтерского учета,69,2018,1
Деятельность в области права и бухгалтерского учета,69,2019,3
Деятельность в области права и бухгалтерского учета,69,2020,1
Деятельность в области права и бухгалтерского учета,69,2021,1
Деятельность в области права и бухгалтерского учета,69,2022,1
Деятельность в области права и бухгалтерского учета,69,2023,2
Деятельность в области права и бухгалтерского учета,69,2024,1
Деятельность в области права,69.10,2024,1
Деятельность головных офисов; консультирование по вопросам управления,70,2018,3
Деятельность головных офисов; консультирование по вопросам управления,70,2019,6
Деятельность головных офисов; консультирование по вопросам управления,70,2020,10
Деятельность головных офисов; консультирование по вопросам управления,70,2021,6
Деятельность головных офисов; консультирование по вопросам управления,70,2022,7
Деятельность головных офисов; консультирование по вопросам управления,70,2023,7
Деятельность головных офисов; консультирование по вопросам управления,70,2024,6
Деятельность головных офисов,70.1,2018,1
Деятельность головных офисов,70.1,2019,1
Деятельность головных офисов,70.1,2020,4
Деятельность головных офисов,70.1,2021,1
Деятельность головных офисов,70.1,2022,3
Деятельность головных офисов,70.1,2023,4
Деятельность головных офисов,70.10,2024,3
Консультирование по вопросам управления,70.2,2018,2
Консультирование по вопросам управления,70.2,2019,5
Консультирование по вопросам управления,70.2,2020,6
Консультирование по вопросам управления,70.2,2021,5
Консультирование по вопросам управления,70.2,2022,4
Консультирование по вопросам управления,70.2,2023,3
Консультирование по вопросам управления,70.2,2024,3
Консультирование по вопросам коммерческой деятельности и управления,70.22,2024,3
Деятельность в области архитектуры и инженерно,71,2018,64
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2019,72
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2020,66
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2021,62
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2022,66
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2023,63
"Деятельность в области архитектуры и инженерно-технического проектирования; технических испытаний, исследований и анализа",71,2024,62
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2018,53
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2019,53
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2020,51
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2021,45
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2022,50
"Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях",71.1,2023,48
